wavelength,jRGECO1a (calcium saturated) ab,jRGECO1a (calcium free) em,jRGECO1a (calcium free) ex,jRGECO1a (calcium free) 2p,jRGECO1a (calcium saturated) em,jRGECO1a (calcium saturated) ex,jRGECO1a (calcium saturated) 2p
696,,0.1719,,,0.0929,,
697,,0.1673,,,0.0907,,
698,,0.1638,,,0.089,,
699,,0.162,,,0.0871,,
700,,0.1612,,,0.0843,,
701,,0.1584,,,0.0817,,
702,,0.153,,,0.0799,,
703,,0.147,,,0.0786,,
704,,0.1426,,,0.0766,,
705,,0.141,,,0.0739,,
706,,0.1383,,,0.0713,,
707,,0.1336,,,0.0693,,
708,,0.13,,,0.0674,,
709,,0.128,,,0.0656,,
710,,0.1259,,,0.0639,,
711,,0.122,,,0.0622,,
712,,0.1188,,,0.0607,,
713,,0.1152,,,0.0591,,
714,,0.1124,,,0.0577,,
715,,0.1104,,,0.0565,,
716,,0.1074,,,0.0553,,
717,,0.1035,,,0.0535,,
718,,0.1009,,,0.0512,,
719,,0.1001,,,0.0496,,
720,,0.0989,,,0.0487,,
721,,0.0974,,,0.0477,,
722,,0.0969,,,0.0463,,
723,,0.0957,,,0.0447,,
724,,0.0938,,,0.0434,,
725,,0.0908,,,0.0424,,
726,,0.0871,,,0.0411,,
727,,0.0838,,,0.0398,,
728,,0.0814,,,0.0388,,
729,,0.0788,,,0.0378,,
730,,0.0764,,,0.0362,,
731,,0.0757,,,0.035,,
732,,0.0768,,,0.0345,,
733,,0.0759,,,0.0338,,
734,,0.0724,,,0.033,,
735,,0.0688,,,0.0322,,
736,,0.0672,,,0.0319,,
737,,0.0672,,,0.0316,,
738,,0.0671,,,0.0313,,
739,,0.0665,,,0.0301,,
740,,0.066,,8.8962,0.0286,,2.3178
741,,0.0642,,8.7843,0.0276,,2.2432
742,,0.0617,,8.6725,0.0272,,2.1687
743,,0.0606,,8.5607,0.0266,,2.0941
744,,0.0612,,8.4489,0.0258,,2.0195
745,,0.0611,,8.2996,0.0249,,1.9468
746,,0.0583,,8.1503,0.0236,,1.8742
747,,0.0544,,8.001,0.0221,,1.8015
748,,0.0516,,7.8517,0.021,,1.7288
749,,0.0488,,7.7573,0.0207,,1.6763
