wavelength ,blue_ex,blue_raw,green_ex,green_raw,lime_ex,lime_raw,red_ex,em_jrgeco_filter_under blue,em_jrgeco_filter_under green,em_jrgeco_filter_under lime,em_jrgeco_filter_under red,em_525_50_under_blue,dv2_shorter_wl_under_white_led,dv2_longer_wl_under_white_led,
764.91,872.12,799.02,851.96,872.12,864.56,1091.41,851.96,733.49,831.79,834.31,819.19,859.52,821.71,914.97,
765.23,786.42,806.58,867.08,846.91,836.83,1101.49,857.00,816.67,854.48,826.75,793.98,831.79,751.13,829.27,
765.54,799.02,904.89,841.87,892.28,859.52,1051.08,864.56,793.98,824.23,773.82,857.00,824.23,778.86,806.58,
765.86,753.65,824.23,836.83,854.48,879.68,1083.85,834.31,799.02,829.27,771.30,773.82,831.79,766.26,874.64,
766.18,811.63,869.60,811.63,854.48,814.15,1068.72,851.96,831.79,748.61,811.63,763.73,824.23,758.69,844.39,
766.50,844.39,831.79,879.68,826.75,814.15,1073.77,804.06,809.11,836.83,799.02,783.90,758.69,783.90,849.43,
766.82,826.75,935.13,869.60,819.19,851.96,1093.93,877.16,814.15,831.79,793.98,796.50,819.19,851.96,869.60,
767.13,799.02,783.90,857.00,879.68,874.64,1061.16,857.00,849.43,811.63,758.69,829.27,826.75,834.31,882.20,
767.45,781.38,804.06,902.37,834.31,889.76,1051.08,793.98,801.54,773.82,811.63,763.73,766.26,738.53,821.71,
767.77,788.94,824.23,839.35,849.43,846.91,993.11,839.35,824.23,773.82,806.58,766.26,776.34,793.98,804.06,
768.09,859.52,811.63,834.31,819.19,846.91,1068.72,761.21,814.15,811.63,781.38,834.31,844.39,826.75,814.15,
